3OH!3 ft. Kesha	My First Kiss
AlunaGeorge & DJ Snake 	You Know You lIke it
AlunaGeorge ft Popcaan	I'm In Control
Andy Grammer	Good To Be Alive (Hallelujah)
Anne-Marie	2002
Anne-Marie	Birthday
Anne-Marie	Alarm
Anne-Marie, KSI, Digital Farm Animals	Don't Play
Anne-Marie, Little Mix	Kiss My (Uh Oh)
Anne-Marie, Niall Horan	Our Song
Anuel AA & Daddy Yankee & Karol G 	China feat. J Balvin & Ozuna
Ariana Grande	34+35
Ariana Grande	just like magic
Ariana Grande	love language
Ariana Grande	motive (with Doja Cat)
Ariana Grande	my hair
Ariana Grande	nasty
Ariana Grande	obvious
Ariana Grande	off the table (with The Weeknd)
Ariana Grande	pov
Ariana Grande	safety net (feat. Ty Dolla $ign)
Ariana Grande	Shut up
Ariana Grande	Six thirty
Ariana Grande	test drive
Ariana Grande	thank u, next
Ariana Grande	west side
Ariana Grande	7 Rings
Ariana Grande	Positions
Ariana Grande	Boyfriend
Ariana Grande	Break up with your girlfriend, i'm bored
Ariana Grande	Breathin'
Ariana Grande	Thank You, Next
Ariana Grande	Focus
Ariana Grande feat. Nicki Minaj	Side To Side
Arizona Zervas	FML
Arizona Zervas	Roxanne
AronChupa	I'm An Albatraoz
Ashnikko	Daisy
Ashnikko	Slumber Party (feat. Princess Nokia)
Audiodamn!	Don't Call Me When It's Over
August Alsina ft. Trinidad James	I Luv This Sh*t
Ava Max	Salt
Aya Nakamura	Djadja
B.o.B	Not for Long
Baby Keem	durag activity (with Travis Scott)
Bad Bunny	Callaita
Bad Bunny	MIA ft. Drake
Bad Bunny	Vete
Bad Bunny ft. El Alfa	La Romana
Bad Meets Evil feat. Bruno Mars	Lighters
BANNERS	Someone To You
Barbara Pravi	Voila
Bas	The Jackie (with J. Cole & Lil Tjay)
Bazzi	Young & Alive
Bazzi	I.F.L.Y.
Bazzi	Mine
Beast	Shock
Bebe Rexha	Baby, I'm Jealous (feat. Doja Cat)
Bebe Rexha ft Nicki Minaj	No Broken Hearts
Bella Poarch	Build a Bitch
Belly ft The Weeknd	Might Not
Belly, The Weeknd, Young Thug	Better Believe
BENEE Featuring Gus Dapperton	Supalonely
benny blanco	Eastside (with Halsey & Khalid)
benny blanco	Graduation (with Juice WRLD)
Benny Blanco	Roses
Beyonce	Hold Up
Beyonce	Sorry
Beyonce	7 11
Beyonce	Partition
Beyoncé	BLACK PARADE
Beyonce ft. Jay-Z	Drunk in Love
Beyonce ft. Nicki Minaj & Chimamanda Ngozi Adichie	Flawless
Beyoncé, Megan Thee Stallion	Savage Remix (feat. Beyoncé)
BIA	WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix
Big $tunt	Capitalize off Pain
Big Sean	Lithuania (feat. Travis Scott)
Big Sean	Wolves (feat. Post Malone)
Big Sean feat. Chris Brown	My Last
Big Sean feat. Chris Brown & Ty Dolla $ign	Play No Games
Big Sean feat. E-40	I Don't Fk With You
Big Sean feat. Lil Wayne	Beware
Big Sean feat. Nicki Minaj	Dance (A$$)
Big Sean feat. Rick Ross and E40	IDFWU
Big Sean ft. Drake	Blessings
Birdman ft. Rick Ross	Born Stunna
BJ The Chicago Kid feat. ScHoolboy Q	It's True
Black Eyed Peas	Pump It
Black Eyed Peas	Just Can't Get Enough
Black Eyed Peas, Ozuna, J. Rey Soul	MAMACITA
Black Eyed Peas, Shakira	GIRL LIKE ME
blackbear	if i were u (with Lauv)
blackbear	me & ur ghost
blackbear 	Hot Girl Bummer
Blackout Ft  Jah-Fu	My Nutty Buddies
BLACKPINK	Bet You Wanna (feat. Cardi B)
BLACKPINK	Crazy Over You
